sentence,intent
convert categorical values in city to labels,LABEL_ENCODE_COLUMN
status remove,DROP_COLUMN
standard scale rating,STANDARDIZE_COLUMN
replace undefined data in department with most common value,FILL_NA
salary remove outliers,REMOVE_OUTLIERS_COLUMN
can you transform city using label encoder,LABEL_ENCODE_COLUMN
convert rating to z scores,STANDARDIZE_COLUMN
I need to transform category using label encoder,LABEL_ENCODE_COLUMN
I need to encode categories in country as integers,LABEL_ENCODE_COLUMN
apply label encoding to category,LABEL_ENCODE_COLUMN
I need to encode category,LABEL_ENCODE_COLUMN
can you perform standard scaling on salary,STANDARDIZE_COLUMN
please age remove outliers,REMOVE_OUTLIERS_COLUMN
drop department,DROP_COLUMN
change data type of gender to integer,TYPE_CAST
drop gender,DROP_COLUMN
can you use mean strategy to treat missing values in category,FILL_NA
could you normalize salary,NORMALIZE_COLUMN
no duplicate rows,REMOVE_DUPLICATES_ROWS
kindly clean duplicate observations,REMOVE_DUPLICATES_ROWS
can you change category into string,TYPE_CAST
could you remove row duplicates,REMOVE_DUPLICATES_ROWS
could you bring age to range 0 and 1,NORMALIZE_COLUMN
typecast gender into float,TYPE_CAST
country should be float,TYPE_CAST
kindly normalize quantity,NORMALIZE_COLUMN
I want to ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
trim extreme observations in income,REMOVE_OUTLIERS_COLUMN
I want to update country type to integer,TYPE_CAST
"rescale income to [0,1]",NORMALIZE_COLUMN
assign labels to country,LABEL_ENCODE_COLUMN
can you bring price to range 0 and 1,NORMALIZE_COLUMN
help me to standardize rating,STANDARDIZE_COLUMN
status fill missing with median,FILL_NA
kindly drop city,DROP_COLUMN
country remove,DROP_COLUMN
I want to remove redundant rows,REMOVE_DUPLICATES_ROWS
could you trim extreme observations in quantity,REMOVE_OUTLIERS_COLUMN
map status categories to numbers,LABEL_ENCODE_COLUMN
standardize the values of score,STANDARDIZE_COLUMN
use median strategy to treat null values in department,FILL_NA
quantity standardization,STANDARDIZE_COLUMN
bring score to range 0 and 1,NORMALIZE_COLUMN
eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
score normalization,NORMALIZE_COLUMN
I want to delete country from the dataset,DROP_COLUMN
price standardization,STANDARDIZE_COLUMN
help me to transform status using label encoder,LABEL_ENCODE_COLUMN
could you convert city to numbers,LABEL_ENCODE_COLUMN
I want to detect and remove outliers for score,REMOVE_OUTLIERS_COLUMN
please encode categories in gender as integers,LABEL_ENCODE_COLUMN
help me to transform income to zero mean and unit variance,STANDARDIZE_COLUMN
kindly gender should be integer,TYPE_CAST
exclude abnormal price values,REMOVE_OUTLIERS_COLUMN
apply standard scaler to salary,STANDARDIZE_COLUMN
apply feature scaling to score,NORMALIZE_COLUMN
make country a float column,TYPE_CAST
kindly change data type of department to string,TYPE_CAST
please set city datatype as integer,TYPE_CAST
city should be float,TYPE_CAST
drop anomalous data points in rating,REMOVE_OUTLIERS_COLUMN
transform rating to zero mean and unit variance,STANDARDIZE_COLUMN
convert status into numeric labels,LABEL_ENCODE_COLUMN
drop extreme age,REMOVE_OUTLIERS_COLUMN
remove department attribute completely,DROP_COLUMN
bring experience to range 0 and 1,NORMALIZE_COLUMN
typecast department into string,TYPE_CAST
replace NaN data in category with most frequent value,FILL_NA
remove extreme score values,REMOVE_OUTLIERS_COLUMN
standard scale score,STANDARDIZE_COLUMN
assign labels to country,LABEL_ENCODE_COLUMN
"rescale price to [0,1]",NORMALIZE_COLUMN
I want to change data type of category to integer,TYPE_CAST
perform standard scaling on experience,STANDARDIZE_COLUMN
I need to detect and remove outliers for quantity,REMOVE_OUTLIERS_COLUMN
I want to standard scale salary,STANDARDIZE_COLUMN
exclude status column,DROP_COLUMN
transform salary to zero mean and unit variance,STANDARDIZE_COLUMN
change country into float,TYPE_CAST
please price normalization,NORMALIZE_COLUMN
delete department from the dataset,DROP_COLUMN
please clean duplicate observations,REMOVE_DUPLICATES_ROWS
set city datatype as integer,TYPE_CAST
apply feature scaling to salary,NORMALIZE_COLUMN
I want to z score scale age,STANDARDIZE_COLUMN
mean imputation for country,FILL_NA
delete repeated records,REMOVE_DUPLICATES_ROWS
use most frequent value strategy to treat NaN values in status,FILL_NA
"please rescale salary to [0,1]",NORMALIZE_COLUMN
country should be float,TYPE_CAST
convert score to z scores,STANDARDIZE_COLUMN
convert experience to z scores,STANDARDIZE_COLUMN
can you clean duplicates,REMOVE_DUPLICATES_ROWS
fill null values in country using median,FILL_NA
help me to make dataset unique,REMOVE_DUPLICATES_ROWS
perform missing value imputation on status using average,FILL_NA
I need to get rid of category,DROP_COLUMN
detect and remove outliers for score,REMOVE_OUTLIERS_COLUMN
get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
change country into float,TYPE_CAST
could you remove the country feature,DROP_COLUMN
could you standardize the values of age,STANDARDIZE_COLUMN
please cast category as string,TYPE_CAST
please delete repeated records,REMOVE_DUPLICATES_ROWS
eliminate abnormal values in age,REMOVE_OUTLIERS_COLUMN
could you apply standard scaler to score,STANDARDIZE_COLUMN
I want to change gender into int,TYPE_CAST
can you z-score normalize price,STANDARDIZE_COLUMN
can you typecast category into float,TYPE_CAST
median imputation for country,FILL_NA
I need to remove outliers in experience,REMOVE_OUTLIERS_COLUMN
I need to rating standardization,STANDARDIZE_COLUMN
kindly convert categorical values in country to labels,LABEL_ENCODE_COLUMN
label encode department,LABEL_ENCODE_COLUMN
kindly category delete,DROP_COLUMN
I want to convert age to z scores,STANDARDIZE_COLUMN
I want to keep only unique rows,REMOVE_DUPLICATES_ROWS
drop extreme quantity,REMOVE_OUTLIERS_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
could you perform standard scaling on score,STANDARDIZE_COLUMN
could you z score scale price,STANDARDIZE_COLUMN
rescale income using min max normalization,NORMALIZE_COLUMN
convert age to z scores,STANDARDIZE_COLUMN
please perform standard scaling on price,STANDARDIZE_COLUMN
remove redundant rows,REMOVE_DUPLICATES_ROWS
could you impute unknown entries in category using median,FILL_NA
help me to no duplicate rows,REMOVE_DUPLICATES_ROWS
department fill missing with average,FILL_NA
replace all NaN in status by most common value,FILL_NA
can you apply z score normalization to experience,STANDARDIZE_COLUMN
fill na in country using mean,FILL_NA
could you experience remove outliers,REMOVE_OUTLIERS_COLUMN
remove row duplicates,REMOVE_DUPLICATES_ROWS
transform gender using label encoder,LABEL_ENCODE_COLUMN
keep only unique rows,REMOVE_DUPLICATES_ROWS
"could you rescale quantity to [0,1]",NORMALIZE_COLUMN
could you apply min max scaling to experience,NORMALIZE_COLUMN
help me to impute empty entries in gender using average,FILL_NA
substitute unknown values in gender by median,FILL_NA
fix NaN values in status with median,FILL_NA
remove outliers in age,REMOVE_OUTLIERS_COLUMN
most common value imputation for status,FILL_NA
city fill missing with mean,FILL_NA
replace all undefined in city by mode,FILL_NA
kindly get rid of outliers in quantity,REMOVE_OUTLIERS_COLUMN
convert experience to z scores,STANDARDIZE_COLUMN
substitute null values in department by median,FILL_NA
delete city from the dataset,DROP_COLUMN
I want to map category categories to numbers,LABEL_ENCODE_COLUMN
replace blank data in status with median,FILL_NA
kindly normalize score,NORMALIZE_COLUMN
resolve missing issue in city,FILL_NA
ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
z-score normalize income,STANDARDIZE_COLUMN
kindly fill undefined values in country using median,FILL_NA
status should be integer,TYPE_CAST
fill unknown values in category using median,FILL_NA
no duplicate rows,REMOVE_DUPLICATES_ROWS
transform city using label encoder,LABEL_ENCODE_COLUMN
could you department should be string,TYPE_CAST
clean outliers from experience,REMOVE_OUTLIERS_COLUMN
can you exclude category column,DROP_COLUMN
apply average imputation on department,FILL_NA
get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
perform missing value imputation on city using average,FILL_NA
