sentence,intent
I want to map status categories to numbers,LABEL_ENCODE_COLUMN
substitute unknown values in department by mean,FILL_NA
fill null values in city using average,FILL_NA
help me to filter extreme values from score,REMOVE_OUTLIERS_COLUMN
can you cast city as string,TYPE_CAST
standardize the values of score,STANDARDIZE_COLUMN
I want to drop column gender,DROP_COLUMN
transform status using label encoder,LABEL_ENCODE_COLUMN
standardize score,STANDARDIZE_COLUMN
remove redundant rows,REMOVE_DUPLICATES_ROWS
filter extreme values from income,REMOVE_OUTLIERS_COLUMN
eliminate column named department,DROP_COLUMN
standardize quantity,STANDARDIZE_COLUMN
discard the gender field,DROP_COLUMN
apply standard scaler to rating,STANDARDIZE_COLUMN
apply standard scaler to salary,STANDARDIZE_COLUMN
eliminate abnormal values in income,REMOVE_OUTLIERS_COLUMN
map department categories to numbers,LABEL_ENCODE_COLUMN
clean outliers from quantity,REMOVE_OUTLIERS_COLUMN
kindly label encode status,LABEL_ENCODE_COLUMN
transform status into int type,TYPE_CAST
kindly label encode department,LABEL_ENCODE_COLUMN
encode categories in gender as integers,LABEL_ENCODE_COLUMN
ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
convert categorical values in country to labels,LABEL_ENCODE_COLUMN
rescale salary using min max normalization,NORMALIZE_COLUMN
transform experience to zero mean and unit variance,STANDARDIZE_COLUMN
scale experience between 0 and 1,NORMALIZE_COLUMN
please apply label encoding to department,LABEL_ENCODE_COLUMN
I want to apply label encoding to department,LABEL_ENCODE_COLUMN
convert department into numeric labels,LABEL_ENCODE_COLUMN
help me to eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
perform missing value imputation on category using mean,FILL_NA
I need to drop all duplicates,REMOVE_DUPLICATES_ROWS
standardize the values of score,STANDARDIZE_COLUMN
help me to impute undefined entries in status using mode,FILL_NA
drop anomalous data points in price,REMOVE_OUTLIERS_COLUMN
remove outliers in salary,REMOVE_OUTLIERS_COLUMN
I need to transform department using label encoder,LABEL_ENCODE_COLUMN
apply label encoding to gender,LABEL_ENCODE_COLUMN
kindly drop anomalous data points in price,REMOVE_OUTLIERS_COLUMN
trim extreme observations in score,REMOVE_OUTLIERS_COLUMN
perform normalization on salary,NORMALIZE_COLUMN
please apply min max scaling to income,NORMALIZE_COLUMN
remove the city feature,DROP_COLUMN
I need to standardize the values of quantity,STANDARDIZE_COLUMN
filter extreme values from age,REMOVE_OUTLIERS_COLUMN
could you perform missing value imputation on category using mean,FILL_NA
clean duplicate observations,REMOVE_DUPLICATES_ROWS
I want to transform department using label encoder,LABEL_ENCODE_COLUMN
could you change data type of department to float,TYPE_CAST
can you remove department attribute completely,DROP_COLUMN
filter extreme values from income,REMOVE_OUTLIERS_COLUMN
can you typecast country into integer,TYPE_CAST
standardize the values of experience,STANDARDIZE_COLUMN
I need to convert city to float,TYPE_CAST
apply most common value imputation on country,FILL_NA
eliminate abnormal values in price,REMOVE_OUTLIERS_COLUMN
help me to clean outliers from income,REMOVE_OUTLIERS_COLUMN
change data type of department to string,TYPE_CAST
delete department from the dataset,DROP_COLUMN
filter extreme values from income,REMOVE_OUTLIERS_COLUMN
could you use mean strategy to treat blank values in country,FILL_NA
use most common value strategy to treat NaN values in status,FILL_NA
could you perform missing value imputation on status using mode,FILL_NA
apply z score normalization to salary,STANDARDIZE_COLUMN
ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
substitute null values in status by most common value,FILL_NA
convert city into numeric labels,LABEL_ENCODE_COLUMN
kindly convert categorical values in status to labels,LABEL_ENCODE_COLUMN
impute missing entries in department using median,FILL_NA
z-score normalize quantity,STANDARDIZE_COLUMN
help me to use average strategy to treat undefined values in category,FILL_NA
could you ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
convert city to integer,TYPE_CAST
eliminate abnormal values in age,REMOVE_OUTLIERS_COLUMN
clean duplicate observations,REMOVE_DUPLICATES_ROWS
apply standard scaler to salary,STANDARDIZE_COLUMN
map status categories to numbers,LABEL_ENCODE_COLUMN
discard the gender field,DROP_COLUMN
kindly label encode country,LABEL_ENCODE_COLUMN
please typecast city into int,TYPE_CAST
I need to remove the city feature,DROP_COLUMN
handle unknown values for city with most common value,FILL_NA
apply median imputation on city,FILL_NA
drop all duplicates,REMOVE_DUPLICATES_ROWS
help me to change data type of department to string,TYPE_CAST
detect and remove outliers for age,REMOVE_OUTLIERS_COLUMN
I need to clean duplicate observations,REMOVE_DUPLICATES_ROWS
apply z score normalization to age,STANDARDIZE_COLUMN
perform normalization on rating,NORMALIZE_COLUMN
transform category into string type,TYPE_CAST
I need to rescale price using min max normalization,NORMALIZE_COLUMN
I want to remove category attribute completely,DROP_COLUMN
convert status to int,TYPE_CAST
I need to apply z score normalization to salary,STANDARDIZE_COLUMN
exclude category column,DROP_COLUMN
fill unknown values in city using average,FILL_NA
I want to discard the category field,DROP_COLUMN
use median strategy to treat blank values in category,FILL_NA
could you perform standard scaling on quantity,STANDARDIZE_COLUMN
apply standard scaler to score,STANDARDIZE_COLUMN
remove department attribute completely,DROP_COLUMN
eliminate column named gender,DROP_COLUMN
apply z score normalization to income,STANDARDIZE_COLUMN
transform age to zero mean and unit variance,STANDARDIZE_COLUMN
please change data type of city to int,TYPE_CAST
set department datatype as int,TYPE_CAST
delete repeated records,REMOVE_DUPLICATES_ROWS
apply feature scaling to experience,NORMALIZE_COLUMN
transform department using label encoder,LABEL_ENCODE_COLUMN
please convert categorical values in gender to labels,LABEL_ENCODE_COLUMN
kindly scale score between 0 and 1,NORMALIZE_COLUMN
eliminate column named department,DROP_COLUMN
delete department from the dataset,DROP_COLUMN
kindly substitute undefined values in status by most common value,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
detect and remove outliers for experience,REMOVE_OUTLIERS_COLUMN
set country datatype as string,TYPE_CAST
transform experience to zero mean and unit variance,STANDARDIZE_COLUMN
please rescale quantity using min max normalization,NORMALIZE_COLUMN
detect and remove outliers for income,REMOVE_OUTLIERS_COLUMN
could you substitute NaN values in department by average,FILL_NA
please apply standard scaler to age,STANDARDIZE_COLUMN
transform salary to zero mean and unit variance,STANDARDIZE_COLUMN
apply feature scaling to price,NORMALIZE_COLUMN
apply standard scaler to quantity,STANDARDIZE_COLUMN
convert country to integer,TYPE_CAST
transform income to zero mean and unit variance,STANDARDIZE_COLUMN
apply z score normalization to price,STANDARDIZE_COLUMN
remove outliers in rating,REMOVE_OUTLIERS_COLUMN
help me to convert salary to 0-1 range,NORMALIZE_COLUMN
detect and remove outliers for score,REMOVE_OUTLIERS_COLUMN
apply feature scaling to quantity,NORMALIZE_COLUMN
please impute empty entries in gender using median,FILL_NA
I need to normalize quantity,NORMALIZE_COLUMN
drop column country,DROP_COLUMN
help me to substitute missing values in category by most frequent value,FILL_NA
I need to delete repeated records,REMOVE_DUPLICATES_ROWS
kindly rescale score using min max normalization,NORMALIZE_COLUMN
help me to apply standard scaler to salary,STANDARDIZE_COLUMN
label encode department,LABEL_ENCODE_COLUMN
drop column country,DROP_COLUMN
I want to delete repeated records,REMOVE_DUPLICATES_ROWS
typecast country into float,TYPE_CAST
label encode department,LABEL_ENCODE_COLUMN
help me to remove gender attribute completely,DROP_COLUMN
label encode status,LABEL_ENCODE_COLUMN
typecast status into int,TYPE_CAST
perform missing value imputation on department using median,FILL_NA
replace empty data in category with most frequent value,FILL_NA
rescale score using min max normalization,NORMALIZE_COLUMN
drop column city,DROP_COLUMN
please transform quantity to zero mean and unit variance,STANDARDIZE_COLUMN
I want to impute null entries in category using mode,FILL_NA
help me to convert salary to 0-1 range,NORMALIZE_COLUMN
perform normalization on quantity,NORMALIZE_COLUMN
transform city using label encoder,LABEL_ENCODE_COLUMN
standardize rating,STANDARDIZE_COLUMN
please remove duplicate rows,REMOVE_DUPLICATES_ROWS
transform category into float type,TYPE_CAST
can you rescale age using min max normalization,NORMALIZE_COLUMN
make country a int column,TYPE_CAST
help me to remove outliers in rating,REMOVE_OUTLIERS_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
I need to replace empty data in category with median,FILL_NA
apply min max scaling to income,NORMALIZE_COLUMN
could you map status categories to numbers,LABEL_ENCODE_COLUMN
eliminate abnormal values in income,REMOVE_OUTLIERS_COLUMN
use mean strategy to treat null values in gender,FILL_NA
clean duplicate observations,REMOVE_DUPLICATES_ROWS
can you remove outliers in experience,REMOVE_OUTLIERS_COLUMN
exclude gender column,DROP_COLUMN
change data type of country to float,TYPE_CAST
use mean strategy to treat null values in country,FILL_NA
help me to normalize age,NORMALIZE_COLUMN
typecast department into string,TYPE_CAST
remove the country feature,DROP_COLUMN
I need to handle undefined values for department with median,FILL_NA
filter extreme values from income,REMOVE_OUTLIERS_COLUMN
eliminate column named category,DROP_COLUMN
kindly substitute null values in city by mean,FILL_NA
perform normalization on price,NORMALIZE_COLUMN
I want to apply median imputation on status,FILL_NA
apply feature scaling to experience,NORMALIZE_COLUMN
filter extreme values from experience,REMOVE_OUTLIERS_COLUMN
make gender a integer column,TYPE_CAST
transform price to zero mean and unit variance,STANDARDIZE_COLUMN
label encode city,LABEL_ENCODE_COLUMN
can you substitute null values in category by median,FILL_NA
convert city into numeric labels,LABEL_ENCODE_COLUMN
impute unknown entries in department using median,FILL_NA
help me to map gender categories to numbers,LABEL_ENCODE_COLUMN
eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
help me to perform normalization on income,NORMALIZE_COLUMN
rescale rating using min max normalization,NORMALIZE_COLUMN
could you perform standard scaling on age,STANDARDIZE_COLUMN
help me to substitute NaN values in gender by median,FILL_NA
map category categories to numbers,LABEL_ENCODE_COLUMN
perform missing value imputation on category using mode,FILL_NA
I want to apply feature scaling to experience,NORMALIZE_COLUMN
can you apply standard scaler to rating,STANDARDIZE_COLUMN
filter extreme values from score,REMOVE_OUTLIERS_COLUMN
detect and remove outliers for rating,REMOVE_OUTLIERS_COLUMN
can you trim extreme observations in income,REMOVE_OUTLIERS_COLUMN
kindly remove outliers in income,REMOVE_OUTLIERS_COLUMN
convert income to 0-1 range,NORMALIZE_COLUMN
remove outliers in rating,REMOVE_OUTLIERS_COLUMN
exclude department column,DROP_COLUMN
fill unknown values in status using most frequent value,FILL_NA
convert country into numeric labels,LABEL_ENCODE_COLUMN
apply label encoding to gender,LABEL_ENCODE_COLUMN
cast status as float,TYPE_CAST
rescale income using min max normalization,NORMALIZE_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
transform gender using label encoder,LABEL_ENCODE_COLUMN
cast country as string,TYPE_CAST
discard the city field,DROP_COLUMN
kindly substitute null values in country by median,FILL_NA
I want to eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
clean outliers from experience,REMOVE_OUTLIERS_COLUMN
clean outliers from experience,REMOVE_OUTLIERS_COLUMN
could you encode categories in category as integers,LABEL_ENCODE_COLUMN
map category categories to numbers,LABEL_ENCODE_COLUMN
perform missing value imputation on department using most frequent value,FILL_NA
can you typecast gender into int,TYPE_CAST
delete repeated records,REMOVE_DUPLICATES_ROWS
apply median imputation on gender,FILL_NA
convert department to float,TYPE_CAST
remove outliers in salary,REMOVE_OUTLIERS_COLUMN
normalize score,NORMALIZE_COLUMN
I need to apply median imputation on gender,FILL_NA
convert city to float,TYPE_CAST
please apply standard scaler to salary,STANDARDIZE_COLUMN
make department a int column,TYPE_CAST
remove redundant rows,REMOVE_DUPLICATES_ROWS
help me to remove redundant rows,REMOVE_DUPLICATES_ROWS
could you standardize the values of income,STANDARDIZE_COLUMN
please convert status into numeric labels,LABEL_ENCODE_COLUMN
apply z score normalization to experience,STANDARDIZE_COLUMN
handle undefined values for city with mean,FILL_NA
scale price between 0 and 1,NORMALIZE_COLUMN
could you exclude status column,DROP_COLUMN
scale age between 0 and 1,NORMALIZE_COLUMN
can you filter extreme values from rating,REMOVE_OUTLIERS_COLUMN
replace blank data in city with most common value,FILL_NA
perform missing value imputation on category using median,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
encode categories in country as integers,LABEL_ENCODE_COLUMN
apply standard scaler to rating,STANDARDIZE_COLUMN
change data type of category to string,TYPE_CAST
help me to impute blank entries in country using median,FILL_NA
convert gender into numeric labels,LABEL_ENCODE_COLUMN
please z-score normalize income,STANDARDIZE_COLUMN
eliminate abnormal values in experience,REMOVE_OUTLIERS_COLUMN
convert gender to string,TYPE_CAST
drop anomalous data points in score,REMOVE_OUTLIERS_COLUMN
I need to drop all duplicates,REMOVE_DUPLICATES_ROWS
perform normalization on age,NORMALIZE_COLUMN
I need to eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
trim extreme observations in rating,REMOVE_OUTLIERS_COLUMN
perform missing value imputation on status using mode,FILL_NA
can you cast department as integer,TYPE_CAST
kindly remove redundant rows,REMOVE_DUPLICATES_ROWS
perform missing value imputation on gender using median,FILL_NA
apply min max scaling to quantity,NORMALIZE_COLUMN
kindly delete country from the dataset,DROP_COLUMN
map gender categories to numbers,LABEL_ENCODE_COLUMN
can you convert gender to int,TYPE_CAST
z-score normalize income,STANDARDIZE_COLUMN
remove the status feature,DROP_COLUMN
I need to change data type of category to int,TYPE_CAST
could you clean duplicate observations,REMOVE_DUPLICATES_ROWS
kindly convert price to 0-1 range,NORMALIZE_COLUMN
could you cast gender as int,TYPE_CAST
apply z score normalization to rating,STANDARDIZE_COLUMN
encode categories in country as integers,LABEL_ENCODE_COLUMN
perform normalization on rating,NORMALIZE_COLUMN
I need to label encode gender,LABEL_ENCODE_COLUMN
I want to eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
exclude status column,DROP_COLUMN
can you transform age to zero mean and unit variance,STANDARDIZE_COLUMN
can you eliminate abnormal values in age,REMOVE_OUTLIERS_COLUMN
I need to apply z score normalization to income,STANDARDIZE_COLUMN
typecast department into float,TYPE_CAST
change data type of department to float,TYPE_CAST
kindly normalize income,NORMALIZE_COLUMN
normalize income,NORMALIZE_COLUMN
exclude category column,DROP_COLUMN
help me to transform gender into string type,TYPE_CAST
apply z score normalization to salary,STANDARDIZE_COLUMN
could you transform city using label encoder,LABEL_ENCODE_COLUMN
convert gender to int,TYPE_CAST
transform country into int type,TYPE_CAST
z-score normalize experience,STANDARDIZE_COLUMN
help me to perform standard scaling on income,STANDARDIZE_COLUMN
help me to apply min max scaling to rating,NORMALIZE_COLUMN
I want to z-score normalize rating,STANDARDIZE_COLUMN
make department a float column,TYPE_CAST
please standardize salary,STANDARDIZE_COLUMN
help me to perform missing value imputation on category using mean,FILL_NA
drop column department,DROP_COLUMN
perform normalization on rating,NORMALIZE_COLUMN
map category categories to numbers,LABEL_ENCODE_COLUMN
help me to clean duplicate observations,REMOVE_DUPLICATES_ROWS
remove the gender feature,DROP_COLUMN
convert city to float,TYPE_CAST
kindly remove duplicate rows,REMOVE_DUPLICATES_ROWS
apply feature scaling to salary,NORMALIZE_COLUMN
apply min max scaling to income,NORMALIZE_COLUMN
can you set department datatype as float,TYPE_CAST
standardize the values of quantity,STANDARDIZE_COLUMN
I want to clean outliers from experience,REMOVE_OUTLIERS_COLUMN
replace null data in department with mode,FILL_NA
I need to label encode department,LABEL_ENCODE_COLUMN
please transform salary to zero mean and unit variance,STANDARDIZE_COLUMN
apply z score normalization to rating,STANDARDIZE_COLUMN
kindly remove redundant rows,REMOVE_DUPLICATES_ROWS
apply label encoding to category,LABEL_ENCODE_COLUMN
remove the category feature,DROP_COLUMN
kindly discard the gender field,DROP_COLUMN
discard the category field,DROP_COLUMN
rescale price using min max normalization,NORMALIZE_COLUMN
clean outliers from price,REMOVE_OUTLIERS_COLUMN
please delete repeated records,REMOVE_DUPLICATES_ROWS
I need to rescale price using min max normalization,NORMALIZE_COLUMN
eliminate column named country,DROP_COLUMN
change data type of status to int,TYPE_CAST
ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
encode categories in status as integers,LABEL_ENCODE_COLUMN
handle undefined values for category with mean,FILL_NA
drop anomalous data points in experience,REMOVE_OUTLIERS_COLUMN
I need to convert rating to 0-1 range,NORMALIZE_COLUMN
I want to perform normalization on price,NORMALIZE_COLUMN
convert quantity to 0-1 range,NORMALIZE_COLUMN
could you ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
remove the country feature,DROP_COLUMN
help me to eliminate abnormal values in salary,REMOVE_OUTLIERS_COLUMN
I need to fill undefined values in country using average,FILL_NA
perform normalization on rating,NORMALIZE_COLUMN
please change data type of status to string,TYPE_CAST
kindly clean outliers from score,REMOVE_OUTLIERS_COLUMN
map city categories to numbers,LABEL_ENCODE_COLUMN
kindly make gender a integer column,TYPE_CAST
I need to substitute blank values in department by mode,FILL_NA
kindly eliminate abnormal values in score,REMOVE_OUTLIERS_COLUMN
apply min max scaling to age,NORMALIZE_COLUMN
convert department to string,TYPE_CAST
I need to transform country into float type,TYPE_CAST
detect and remove outliers for income,REMOVE_OUTLIERS_COLUMN
cast gender as float,TYPE_CAST
I want to use median strategy to treat empty values in category,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
I want to ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
label encode country,LABEL_ENCODE_COLUMN
kindly convert categorical values in category to labels,LABEL_ENCODE_COLUMN
I need to apply label encoding to city,LABEL_ENCODE_COLUMN
transform country using label encoder,LABEL_ENCODE_COLUMN
substitute unknown values in category by most frequent value,FILL_NA
I want to scale rating between 0 and 1,NORMALIZE_COLUMN
convert status to float,TYPE_CAST
transform rating to zero mean and unit variance,STANDARDIZE_COLUMN
perform missing value imputation on category using median,FILL_NA
drop anomalous data points in age,REMOVE_OUTLIERS_COLUMN
I want to encode categories in status as integers,LABEL_ENCODE_COLUMN
can you replace NaN data in city with median,FILL_NA
help me to impute blank entries in gender using average,FILL_NA
convert country to string,TYPE_CAST
apply label encoding to city,LABEL_ENCODE_COLUMN
drop column department,DROP_COLUMN
I want to convert income to 0-1 range,NORMALIZE_COLUMN
standardize score,STANDARDIZE_COLUMN
rescale price using min max normalization,NORMALIZE_COLUMN
could you detect and remove outliers for rating,REMOVE_OUTLIERS_COLUMN
kindly apply feature scaling to experience,NORMALIZE_COLUMN
handle NaN values for city with median,FILL_NA
make country a integer column,TYPE_CAST
could you convert age to 0-1 range,NORMALIZE_COLUMN
apply z score normalization to quantity,STANDARDIZE_COLUMN
help me to typecast department into integer,TYPE_CAST
standardize the values of salary,STANDARDIZE_COLUMN
perform normalization on salary,NORMALIZE_COLUMN
use median strategy to treat NaN values in status,FILL_NA
could you apply label encoding to department,LABEL_ENCODE_COLUMN
rescale rating using min max normalization,NORMALIZE_COLUMN
eliminate abnormal values in salary,REMOVE_OUTLIERS_COLUMN
help me to replace NaN data in department with median,FILL_NA
remove the status feature,DROP_COLUMN
clean outliers from quantity,REMOVE_OUTLIERS_COLUMN
help me to delete department from the dataset,DROP_COLUMN
typecast department into string,TYPE_CAST
make category a integer column,TYPE_CAST
could you cast city as string,TYPE_CAST
eliminate column named city,DROP_COLUMN
delete category from the dataset,DROP_COLUMN
help me to eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
could you exclude status column,DROP_COLUMN
convert city into numeric labels,LABEL_ENCODE_COLUMN
normalize rating,NORMALIZE_COLUMN
transform status using label encoder,LABEL_ENCODE_COLUMN
apply label encoding to gender,LABEL_ENCODE_COLUMN
remove status attribute completely,DROP_COLUMN
kindly make department a string column,TYPE_CAST
remove redundant rows,REMOVE_DUPLICATES_ROWS
impute undefined entries in gender using median,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
help me to apply standard scaler to salary,STANDARDIZE_COLUMN
set country datatype as integer,TYPE_CAST
standardize the values of quantity,STANDARDIZE_COLUMN
kindly drop anomalous data points in score,REMOVE_OUTLIERS_COLUMN
convert categorical values in city to labels,LABEL_ENCODE_COLUMN
handle NaN values for city with median,FILL_NA
eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
replace NaN data in city with most frequent value,FILL_NA
apply feature scaling to income,NORMALIZE_COLUMN
impute missing entries in category using median,FILL_NA
convert categorical values in status to labels,LABEL_ENCODE_COLUMN
replace empty data in gender with median,FILL_NA
could you handle NaN values for city with median,FILL_NA
I want to convert status into numeric labels,LABEL_ENCODE_COLUMN
help me to exclude department column,DROP_COLUMN
apply standard scaler to age,STANDARDIZE_COLUMN
encode categories in city as integers,LABEL_ENCODE_COLUMN
apply standard scaler to income,STANDARDIZE_COLUMN
I want to remove outliers in quantity,REMOVE_OUTLIERS_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
could you discard the status field,DROP_COLUMN
eliminate column named category,DROP_COLUMN
encode categories in status as integers,LABEL_ENCODE_COLUMN
convert status into numeric labels,LABEL_ENCODE_COLUMN
z-score normalize age,STANDARDIZE_COLUMN
filter extreme values from salary,REMOVE_OUTLIERS_COLUMN
can you discard the gender field,DROP_COLUMN
delete category from the dataset,DROP_COLUMN
scale score between 0 and 1,NORMALIZE_COLUMN
label encode city,LABEL_ENCODE_COLUMN
I want to ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
please scale income between 0 and 1,NORMALIZE_COLUMN
can you transform status using label encoder,LABEL_ENCODE_COLUMN
remove redundant rows,REMOVE_DUPLICATES_ROWS
remove the category feature,DROP_COLUMN
typecast status into string,TYPE_CAST
could you encode categories in status as integers,LABEL_ENCODE_COLUMN
I want to eliminate column named department,DROP_COLUMN
encode categories in city as integers,LABEL_ENCODE_COLUMN
exclude department column,DROP_COLUMN
perform missing value imputation on gender using mean,FILL_NA
apply feature scaling to score,NORMALIZE_COLUMN
clean outliers from quantity,REMOVE_OUTLIERS_COLUMN
apply label encoding to category,LABEL_ENCODE_COLUMN
remove duplicate rows,REMOVE_DUPLICATES_ROWS
can you transform income to zero mean and unit variance,STANDARDIZE_COLUMN
clean outliers from quantity,REMOVE_OUTLIERS_COLUMN
detect and remove outliers for experience,REMOVE_OUTLIERS_COLUMN
could you make gender a integer column,TYPE_CAST
set category datatype as integer,TYPE_CAST
I want to remove redundant rows,REMOVE_DUPLICATES_ROWS
scale price between 0 and 1,NORMALIZE_COLUMN
help me to standardize the values of salary,STANDARDIZE_COLUMN
I want to typecast city into float,TYPE_CAST
remove category attribute completely,DROP_COLUMN
I want to rescale income using min max normalization,NORMALIZE_COLUMN
could you discard the status field,DROP_COLUMN
typecast department into integer,TYPE_CAST
rescale experience using min max normalization,NORMALIZE_COLUMN
please encode categories in status as integers,LABEL_ENCODE_COLUMN
fill blank values in category using median,FILL_NA
help me to change data type of gender to integer,TYPE_CAST
please label encode city,LABEL_ENCODE_COLUMN
standardize the values of rating,STANDARDIZE_COLUMN
convert categorical values in status to labels,LABEL_ENCODE_COLUMN
remove duplicate rows,REMOVE_DUPLICATES_ROWS
could you replace NaN data in gender with average,FILL_NA
impute blank entries in country using most frequent value,FILL_NA
please apply standard scaler to score,STANDARDIZE_COLUMN
could you z-score normalize score,STANDARDIZE_COLUMN
cast city as string,TYPE_CAST
trim extreme observations in income,REMOVE_OUTLIERS_COLUMN
apply standard scaler to quantity,STANDARDIZE_COLUMN
convert country into numeric labels,LABEL_ENCODE_COLUMN
filter extreme values from quantity,REMOVE_OUTLIERS_COLUMN
drop column status,DROP_COLUMN
I want to drop all duplicates,REMOVE_DUPLICATES_ROWS
filter extreme values from income,REMOVE_OUTLIERS_COLUMN
could you set department datatype as float,TYPE_CAST
please exclude category column,DROP_COLUMN
filter extreme values from experience,REMOVE_OUTLIERS_COLUMN
normalize quantity,NORMALIZE_COLUMN
handle NaN values for category with median,FILL_NA
I want to z-score normalize salary,STANDARDIZE_COLUMN
replace null data in gender with median,FILL_NA
please convert status to float,TYPE_CAST
please delete repeated records,REMOVE_DUPLICATES_ROWS
help me to transform gender using label encoder,LABEL_ENCODE_COLUMN
ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
make gender a float column,TYPE_CAST
z-score normalize income,STANDARDIZE_COLUMN
apply standard scaler to rating,STANDARDIZE_COLUMN
convert rating to 0-1 range,NORMALIZE_COLUMN
I want to set category datatype as float,TYPE_CAST
handle missing values for gender with average,FILL_NA
kindly remove the city feature,DROP_COLUMN
please drop anomalous data points in experience,REMOVE_OUTLIERS_COLUMN
please map gender categories to numbers,LABEL_ENCODE_COLUMN
impute empty entries in gender using median,FILL_NA
apply min max scaling to score,NORMALIZE_COLUMN
clean outliers from salary,REMOVE_OUTLIERS_COLUMN
remove duplicate rows,REMOVE_DUPLICATES_ROWS
apply label encoding to gender,LABEL_ENCODE_COLUMN
I need to convert categorical values in country to labels,LABEL_ENCODE_COLUMN
delete category from the dataset,DROP_COLUMN
I want to apply min max scaling to quantity,NORMALIZE_COLUMN
standardize experience,STANDARDIZE_COLUMN
please apply label encoding to status,LABEL_ENCODE_COLUMN
transform gender using label encoder,LABEL_ENCODE_COLUMN
help me to rescale quantity using min max normalization,NORMALIZE_COLUMN
filter extreme values from price,REMOVE_OUTLIERS_COLUMN
change data type of category to float,TYPE_CAST
kindly clean duplicate observations,REMOVE_DUPLICATES_ROWS
cast department as integer,TYPE_CAST
substitute undefined values in department by median,FILL_NA
I need to perform missing value imputation on department using mode,FILL_NA
convert categorical values in city to labels,LABEL_ENCODE_COLUMN
